OID_,stid,station_name,lat,lon,elev,begints,begin_month,begin_day,begin_year,iem_network
1,MRF,MARFA MUNI (AMOS),30.370000000000001,-104.019999999999996,1481.000000000000000,12/1/1936 0:00:00,12,1,1936,TX_ASOS
2,SKF,KELLY AFB,29.384229999999999,-98.581109999999995,210.000000000000000,7/7/1937 0:00:00,7,7,1937,TX_ASOS
3,RND,RANDOLPH AFB,29.530000000000001,-98.280000000000001,232.000000000000000,4/1/1938 0:00:00,4,1,1938,TX_ASOS
4,ELP,EL PASO INTL ARPT,31.811109999999999,-106.375829999999993,1194.000000000000000,4/1/1941 0:00:00,4,1,1941,TX_ASOS
5,EFD,HOUSTON/ELLINGTON,29.607330000000001,-95.158749999999998,10.000000000000000,7/1/1941 0:00:00,7,1,1941,TX_ASOS
6,VCT,VICTORIA REGIONAL,28.861400000000000,-96.930300000000003,36.000000000000000,11/4/1941 0:00:00,11,4,1941,TX_ASOS
7,HRL,HARLINGEN INTL ARPT,26.228500000000000,-97.654390000000006,11.000000000000000,3/1/1942 0:00:00,3,1,1942,TX_ASOS
8,SPS,WICHITA FALLS/SHEP,33.978600000000000,-98.492800000000003,314.000000000000000,4/13/1942 0:00:00,4,13,1942,TX_ASOS
9,ACT,Waco,31.617970000000000,-97.228300000000004,155.000000000000000,5/14/1942 0:00:00,5,14,1942,TX_ASOS
10,GVT,GREENVILLE/MAJORS,33.067839999999997,-96.065330000000003,163.000000000000000,9/11/1942 0:00:00,9,11,1942,TX_ASOS
11,HDO,HONDO MUNICIPAL,29.359439999999999,-99.174170000000004,283.000000000000000,9/15/1942 0:00:00,9,15,1942,TX_ASOS
12,DHT,DALHART MUNICIPAL,36.022590000000001,-102.547280000000001,1216.000000000000000,11/1/1942 0:00:00,11,1,1942,TX_ASOS
13,NFW,FORT WORTH NAS,32.780980000000000,-97.436480000000003,198.000000000000000,11/30/1942 0:00:00,11,30,1942,TX_ASOS
14,LRD,LAREDO INTL AIRPORT,27.543800000000001,-99.461529999999996,155.000000000000000,1/1/1943 0:00:00,1,1,1943,TX_ASOS
15,CDS,CHILDRESS MUNICIPAL,34.433889999999998,-100.288060000000002,595.000000000000000,2/15/1943 0:00:00,2,15,1943,TX_ASOS
16,DLF,LAUGHLIN AFB,29.359490000000001,-100.777969999999996,330.000000000000000,2/17/1943 0:00:00,2,17,1943,TX_ASOS
17,AMA,AMARILLO ARPT(AWOS),35.219360000000002,-101.705920000000006,1099.000000000000000,3/1/1943 0:00:00,3,1,1943,TX_ASOS
18,GLS,GALVESTON/SCHOLES,29.265329999999999,-94.860420000000005,16.000000000000000,11/1/1943 0:00:00,11,1,1943,TX_ASOS
19,DYS,DYESS AFB/ABILENE,32.420999999999999,-99.855000000000004,545.000000000000000,12/1/1943 0:00:00,12,1,1943,TX_ASOS
20,PRX,PARIS/COX FIELD,33.636609999999997,-95.450749999999999,167.000000000000000,5/17/1944 0:00:00,5,17,1944,TX_ASOS
21,BWD,BROWNWOOD MUNICIPAL,31.793610000000001,-98.956500000000005,422.000000000000000,9/1/1944 0:00:00,9,1,1944,TX_ASOS
22,TPL,TEMPLE/MILLER(AWOS),31.152500000000000,-97.407780000000002,208.000000000000000,1/2/1945 0:00:00,1,2,1945,TX_ASOS
23,NGP,CORPUS CHRISTI NAS,27.692630000000001,-97.291089999999997,6.000000000000000,3/1/1945 0:00:00,3,1,1945,TX_ASOS
24,FTW,FORT WORTH/MEACHAM,32.819780000000002,-97.362440000000007,216.000000000000000,3/1/1945 0:00:00,3,1,1945,TX_ASOS
25,NQI,KINGSVILLE NAS,27.507200000000001,-97.809700000000007,15.000000000000000,3/1/1945 0:00:00,3,1,1945,TX_ASOS
26,LBB,LUBBOCK INTL ARPT,33.663640000000001,-101.822779999999995,988.000000000000000,8/10/1945 0:00:00,8,10,1945,TX_ASOS
27,ILE,KILLEEN MUNI (AWOS),31.085830000000001,-97.686499999999995,258.000000000000000,5/15/1946 0:00:00,5,15,1946,TX_ASOS
28,DAL,DALLAS/LOVE FIELD,32.847110000000001,-96.851780000000005,148.000000000000000,7/26/1946 0:00:00,7,26,1946,TX_ASOS
29,TYR,TYLER/POUNDS FLD,32.354140000000001,-95.402389999999997,166.000000000000000,7/26/1946 0:00:00,7,26,1946,TX_ASOS
30,ABI,Abilene,32.410629999999998,-99.682090000000002,544.997499999999945,8/1/1946 0:00:00,8,1,1946,TX_ASOS
31,ALI,ALICE INTL AIRPORT,27.740890000000000,-98.026939999999996,54.000000000000000,8/1/1946 0:00:00,8,1,1946,TX_ASOS
32,CRP,CORPUS CHRISTI INTL,27.773060000000001,-97.512780000000006,13.000000000000000,8/1/1946 0:00:00,8,1,1946,TX_ASOS
33,PSX,PALACIOS MUNICIPAL,28.730000000000000,-96.250000000000000,5.000000000000000,8/1/1946 0:00:00,8,1,1946,TX_ASOS
34,INK,WINK/WINKLER CO.,31.780000000000001,-103.200000000000003,859.000000000000000,8/1/1946 0:00:00,8,1,1946,TX_ASOS
35,DRT,DEL RIO INTL (AUT),29.374210000000001,-100.927160000000001,307.000000000000000,8/9/1946 0:00:00,8,9,1946,TX_ASOS
36,SAT,SAN ANTONIO INTL,29.533690000000000,-98.469780000000000,242.000000000000000,8/14/1946 0:00:00,8,14,1946,TX_ASOS
37,BRO,BROWNSVILLE INTL,25.914610000000000,-97.423130000000000,6.000000000000000,1/1/1947 0:00:00,1,1,1947,TX_ASOS
38,NOG,ORANGE GROVE,27.901129999999998,-98.051670000000001,78.000000000000000,1/1/1948 0:00:00,1,1,1948,TX_ASOS
39,MAF,Midland Intl,31.946619999999999,-102.207449999999994,868.940600000000018,2/1/1948 0:00:00,2,1,1948,TX_ASOS
40,SJT,SAN ANGELO/MATHIS,31.351669999999999,-100.495000000000005,582.000000000000000,2/15/1948 0:00:00,2,15,1948,TX_ASOS
41,MWL,MINERAL WELLS MUNI,32.781610000000001,-98.060180000000003,296.000000000000000,3/9/1948 0:00:00,3,9,1948,TX_ASOS
42,ATT,Austin - City/Camp Mabry,30.320810000000002,-97.760419999999996,203.000000000000000,7/1/1948 0:00:00,7,1,1948,TX_ASOS
43,BPT,Beaumont - Port Arthur,29.952059999999999,-94.026139999999998,4.578463600000000,7/1/1948 0:00:00,7,1,1948,TX_ASOS
44,GDP,GUADALUPE PASS AMOS,31.833120000000001,-104.809780000000003,1662.000000000000000,7/1/1948 0:00:00,7,1,1948,TX_ASOS
45,HOU,HOUSTON/WILL HOBBY,29.637470000000000,-95.282449999999997,14.000000000000000,7/1/1948 0:00:00,7,1,1948,TX_ASOS
46,JCT,JUNCTION (AMOS),30.510829999999999,-99.766390000000001,522.000000000000000,7/1/1948 0:00:00,7,1,1948,TX_ASOS
47,LFK,LUFKIN/ANGELINA CO.,31.234010000000001,-94.750000000000000,88.000000000000000,8/1/1948 0:00:00,8,1,1948,TX_ASOS
48,CNW,Waco,31.637810000000002,-97.074140000000000,143.000000000000000,1/1/1949 0:00:00,1,1,1949,TX_ASOS
49,COT,COTULLA MUNICIPAL,28.456669999999999,-99.218329999999995,144.000000000000000,10/1/1949 0:00:00,10,1,1949,TX_ASOS
50,GGG,LONGVIEW/GREGG CO.,32.384010000000004,-94.711489999999998,124.000000000000000,9/1/1950 0:00:00,9,1,1950,TX_ASOS
51,GRK,FORT HOOD/GRAY AAF,31.070000000000000,-97.829999999999998,309.000000000000000,9/26/1950 0:00:00,9,26,1950,TX_ASOS
52,CLL,COLLEGE STATION,30.588059999999999,-96.363889999999998,98.000000000000000,8/1/1951 0:00:00,8,1,1951,TX_ASOS
53,DFW,DALLAS/FT WORTH,32.896830000000001,-97.037999999999997,182.000000000000000,5/1/1953 0:00:00,5,1,1953,TX_ASOS
54,PIL,PORT ISABEL-CAMERON COUNTY APT,26.159700000000001,-97.337810000000005,6.000000000000000,11/1/1957 0:00:00,11,1,1957,TX_ASOS
55,HLR,FT HOOD AAF/KILLEEN,31.138700000000000,-97.714500000000001,283.000000000000000,11/1/1960 0:00:00,11,1,1960,TX_ASOS
56,IAH,Houston Intercontinental,29.984400000000001,-95.360699999999994,28.000000000000000,6/1/1969 0:00:00,6,1,1969,TX_ASOS
57,MFE,MCALLEN/MILLER INTL,26.175830000000001,-98.238609999999994,33.000000000000000,12/31/1972 0:00:00,12,31,1972,TX_ASOS
58,ERV,KERRVILLE MUNICIPAL,29.976669999999999,-99.085470000000001,493.000000000000000,1/1/1973 0:00:00,1,1,1973,TX_ASOS
59,PVW,PLAINVIEW,34.168149999999997,-101.717339999999993,1028.000000000000000,1/1/1973 0:00:00,1,1,1973,TX_ASOS
60,ADS,DALLAS/ADDISON ARPT,32.968559999999997,-96.836449999999999,196.000000000000000,1/31/1974 0:00:00,1,31,1974,TX_ASOS
61,RWV,Caldwell,30.515470000000001,-96.704089999999994,119.000000000000000,7/1/1980 0:00:00,7,1,1980,TX_ASOS
62,HHF,CANADIAN,35.895000000000003,-100.403999999999996,730.000000000000000,7/7/1981 0:00:00,7,7,1981,TX_ASOS
63,GYI,SHERMAN/DENISON,33.714109999999998,-96.673670000000001,228.000000000000000,10/1/1982 0:00:00,10,1,1982,TX_ASOS
64,SEP,STEPHENVILLE/CLARK,32.215330000000002,-98.177670000000006,402.000000000000000,11/1/1983 0:00:00,11,1,1983,TX_ASOS
65,RKP,ROCKPORT/ARANSAS CO,28.083610000000000,-97.046390000000002,8.000000000000000,1/1/1984 0:00:00,1,1,1984,TX_ASOS
66,RBD,DALLAS/REDBIRD ARPT,32.680000000000000,-96.870000000000005,201.000000000000000,7/13/1984 0:00:00,7,13,1984,TX_ASOS
67,GPM,GRAND_PRAIRIE,32.698779999999999,-97.046920000000000,180.000000000000000,1/30/1985 0:00:00,1,30,1985,TX_ASOS
68,DWH,HOUSTON/D.W. HOOKS,30.068030000000000,-95.556240000000003,46.000000000000000,9/16/1986 0:00:00,9,16,1986,TX_ASOS
69,RPE,SABINE PASS,29.699999999999999,-93.950000000000003,3.000000000000000,10/1/1986 0:00:00,10,1,1986,TX_ASOS
70,SSF,SAN ANTONIO/STINSON,29.336980000000001,-98.471050000000005,176.000000000000000,1/5/1988 0:00:00,1,5,1988,TX_ASOS
71,LBX,ANGLETON/LAKE JACKS,29.108640000000001,-95.462080000000000,8.000000000000000,7/14/1989 0:00:00,7,14,1989,TX_ASOS
72,AFW,Fort Worth - Alliance,32.971600000000002,-97.317880000000002,204.819140000000004,1/1/1991 0:00:00,1,1,1991,TX_ASOS
73,GTU,GEORGETOWN (AWOS),30.680830000000000,-97.676659999999998,240.000000000000000,12/31/1991 0:00:00,12,31,1991,TX_ASOS
74,PWG,MC GREGOR (AWOS),31.484919999999999,-97.316530000000000,180.000000000000000,12/31/1991 0:00:00,12,31,1991,TX_ASOS
75,OCH,NACOGDOCHES (AWOS),31.577780000000001,-94.709440000000001,108.000000000000000,12/31/1991 0:00:00,12,31,1991,TX_ASOS
76,HYI,SAN MARCOS (AWOS),29.892749999999999,-97.863000000000000,182.000000000000000,4/8/1992 0:00:00,4,8,1992,TX_ASOS
77,BGD,BORGER/HUTCHINSON,35.700890000000001,-101.393659999999997,931.000000000000000,7/1/1996 0:00:00,7,1,1996,TX_ASOS
78,DTO,Denton,33.204999999999998,-97.200599999999994,200.717579999999998,7/1/1996 0:00:00,7,1,1996,TX_ASOS
79,FST,FORT STOCKTON,30.911940000000001,-102.916669999999996,917.000000000000000,7/1/1996 0:00:00,7,1,1996,TX_ASOS
80,SGR,HOUSTON/HULL FIELD,29.622250000000001,-95.656530000000004,2.000000000000000,7/1/1996 0:00:00,7,1,1996,TX_ASOS
81,BMQ,BURNET MUNICIPAL/KATE CRADDOCK,30.738930000000000,-98.238609999999994,389.000000000000000,10/1/1996 0:00:00,10,1,1996,TX_ASOS
82,CXO,CONROE/MONTGOMERY COUNTY AIRPORT,30.352360000000001,-95.414529999999999,75.000000000000000,1/1/1997 0:00:00,1,1,1997,TX_ASOS
83,UTS,HUNTSVILLE MUNICIPAL AIRPORT,30.746890000000000,-95.587170000000000,112.000000000000000,2/28/1997 0:00:00,2,28,1997,TX_ASOS
84,TRL,TERRELL,32.710000000000001,-96.269999999999996,145.000000000000000,5/31/1997 0:00:00,5,31,1997,TX_ASOS
85,CRS,CORSICANA,32.030000000000001,-96.400000000000006,137.000000000000000,6/1/1997 0:00:00,6,1,1997,TX_ASOS
86,TKI,MC KINNEY,33.180000000000000,-96.590000000000003,179.000000000000000,4/30/1998 0:00:00,4,30,1998,TX_ASOS
87,BAZ,NEW BRAUNFELS MUNI APT (WAS 3R5),29.709000000000000,-98.045000000000002,195.000000000000000,11/1/1998 0:00:00,11,1,1998,TX_ASOS
88,LVJ,Pearland Regional,29.518899999999999,-95.241699999999994,13.164370999999999,11/1/1998 0:00:00,11,1,1998,TX_ASOS
89,GKY,ARLINGTON (WAS F54),32.663860000000000,-97.094279999999998,192.000000000000000,12/1/1998 0:00:00,12,1,1998,TX_ASOS
90,ODO,ODESSA-SCHLEMEYER FLD (WAS E02),31.920559999999998,-102.386669999999995,915.000000000000000,12/1/1998 0:00:00,12,1,1998,TX_ASOS
91,AUS,Austin Bergstrom Intl,30.194530000000000,-97.669889999999995,189.000000000000000,5/23/1999 0:00:00,5,23,1999,TX_ASOS
92,6R6,DRYDEN,30.046019999999999,-102.212909999999994,702.000000000000000,7/1/1999 0:00:00,7,1,1999,TX_ASOS
93,11R,BRENHAM_MUNICIPAL_APT,30.218889999999998,-96.374170000000007,94.000000000000000,6/9/2000 0:00:00,6,9,2000,TX_ASOS
94,GLE,GAINESVILLE,33.651389999999999,-97.196939999999998,256.000000000000000,7/10/2001 0:00:00,7,10,2001,TX_ASOS
95,3T5,LA GRANGE/FAYETTE REGIONAL,29.910000000000000,-96.950000000000003,99.000000000000000,11/13/2001 0:00:00,11,13,2001,TX_ASOS
96,FWS,DFW NEXRAD,32.572969999999998,-97.303319999999999,208.025959999999998,12/16/2001 0:00:00,12,16,2001,TX_ASOS
97,LBR,CLARKSVILLE,33.593159999999997,-95.063559999999995,134.000000000000000,2/8/2002 0:00:00,2,8,2002,TX_ASOS
98,JAS,JASPER COUNTY-BELL FIELD AIRPORT,30.885690000000000,-94.034940000000006,65.000000000000000,3/13/2002 0:00:00,3,13,2002,TX_ASOS
99,SWW,SWEETWATER/AVENGER FIELD AIRPORT,32.467359999999999,-100.466560000000001,727.000000000000000,4/30/2002 0:00:00,4,30,2002,TX_ASOS
100,T82,FREDERICKSBURG/GILLESPIE COUNTY,30.243250000000000,-98.909189999999995,517.000000000000000,6/6/2002 0:00:00,6,6,2002,TX_ASOS
101,T65,WESLACO/MID VALLEY AIRPORT,26.177640000000000,-97.973060000000004,21.000000000000000,9/11/2002 0:00:00,9,11,2002,TX_ASOS
102,BYY,BAY_CITY,28.973250000000000,-95.863439999999997,14.000000000000000,11/11/2002 0:00:00,11,11,2002,TX_ASOS
103,PYX,PERRYTON/OCHILTREE COUNTY APT,36.414000000000001,-100.750000000000000,889.000000000000000,1/21/2003 0:00:00,1,21,2003,TX_ASOS
104,BKS,FALFURRIAS/BROOKS COUNTY AIRPORT,27.206669999999999,-98.121110000000002,34.000000000000000,1/24/2003 0:00:00,1,24,2003,TX_ASOS
